prompt,scrambled_lines,codex_output,problem,prompt_version
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return sum
sum = sum + num
for num in numList:
sum = 0
def getSum(numList):
#End lines

#Solved Python code
","return sum
sum = sum + num
for num in numList:
sum = 0
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
sum = 0
return sum
sum = sum + num
def getSum(numList):
#End lines

#Solved Python code
","for num in numList:
sum = 0
return sum
sum = sum + num
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
for num in numList:
sum = sum + num
def getSum(numList):
return sum
#End lines

#Solved Python code
","sum = 0
for num in numList:
sum = sum + num
def getSum(numList):
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
sum = sum + num
sum = 0
return sum
def getSum(numList):
#End lines

#Solved Python code
","for num in numList:
sum = sum + num
sum = 0
return sum
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def getSum(numList):
return sum
for num in numList:
sum = sum + num
sum = 0
#End lines

#Solved Python code
","def getSum(numList):
return sum
for num in numList:
sum = sum + num
sum = 0","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
return sum
sum = 0
sum = sum + num
def getSum(numList):
#End lines

#Solved Python code
","for num in numList:
return sum
sum = 0
sum = sum + num
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def getSum(numList):
sum = sum + num
for num in numList:
sum = 0
return sum
#End lines

#Solved Python code
","def getSum(numList):
sum = sum + num
for num in numList:
sum = 0
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def getSum(numList):
for num in numList:
sum = 0
sum = sum + num
return sum
#End lines

#Solved Python code
","def getSum(numList):
for num in numList:
sum = 0
sum = sum + num
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
for num in numList:
sum = sum + num
return sum
def getSum(numList):
#End lines

#Solved Python code
","sum = 0
for num in numList:
sum = sum + num
return sum
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
def getSum(numList):
return sum
sum = 0
sum = sum + num
#End lines

#Solved Python code
","for num in numList:
def getSum(numList):
return sum
sum = 0
sum = sum + num","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
