prompt,scrambled_lines,codex_output,problem
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
return sum
sum = sum + num
for num in numList:
sum = 0
def getSum(numList):
#Fixed Python code
","return sum
sum = sum + num
for num in numList:
sum = 0
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
for num in numList:
sum = 0
return sum
sum = sum + num
def getSum(numList):
#Fixed Python code
","for num in numList:
sum = 0
return sum
sum = sum + num
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
sum = 0
for num in numList:
sum = sum + num
def getSum(numList):
return sum
#Fixed Python code
","sum = 0
for num in numList:
sum = sum + num
def getSum(numList):
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
for num in numList:
sum = sum + num
sum = 0
return sum
def getSum(numList):
#Fixed Python code
","for num in numList:
sum = sum + num
sum = 0
return sum
def getSum(numList):","def getSum(numList):
sum = 0
for num in numList:
sum = sum + num
return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
def getSum(numList):
return sum
for num in numList:
sum = sum + num
sum = 0
#Fixed Python code
","def getSum(numList):
return sum
for num in numList:
sum = sum + num
sum = 0","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
for num in numList:
return sum
sum = 0
sum = sum + num
def getSum(numList):
#Fixed Python code
","for num in numList:
return sum
sum = 0
sum = sum + num
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
def getSum(numList):
sum = sum + num
for num in numList:
sum = 0
return sum
#Fixed Python code
","def getSum(numList):
sum = sum + num
for num in numList:
sum = 0
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
def getSum(numList):
for num in numList:
sum = 0
sum = sum + num
return sum
#Fixed Python code
","def getSum(numList):
for num in numList:
sum = 0
sum = sum + num
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
sum = 0
for num in numList:
sum = sum + num
return sum
def getSum(numList):
#Fixed Python code
","sum = 0
for num in numList:
sum = sum + num
return sum
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
for num in numList:
def getSum(numList):
return sum
sum = 0
sum = sum + num
#Fixed Python code
","for num in numList:
def getSum(numList):
return sum
sum = 0
sum = sum + num","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
for num in numList:
sum = sum + num
def getSum(numList):
sum = 0
return sum
#Fixed Python code
","for num in numList:
sum = sum + num
def getSum(numList):
sum = 0
return sum","def getSum(numList):
sum = 0
for num in numList:
sum = sum + num
return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
return sum
sum = 0
def getSum(numList):
for num in numList:
sum = sum + num
#Fixed Python code
","return sum
sum = 0
def getSum(numList):
for num in numList:
sum = sum + num","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
def getSum(numList):
return sum
sum = sum + num
for num in numList:
sum = 0
#Fixed Python code
","def getSum(numList):
return sum
sum = sum + num
for num in numList:
sum = 0","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum
",Ericson2017figure1
