folder,figure,file,msg,ok,actual,expected,errortype
V1,Ericson2017figure1,Ericson2017figure1_0,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_0,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_0,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_0,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_0,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_0,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_0,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_1,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_1,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_1,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_1,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_1,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_1,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_1,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_2,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_2,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_2,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_2,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_2,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_2,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_2,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_3,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_3,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_3,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_3,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_3,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_3,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_3,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_4,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_4,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_4,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_4,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_4,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_4,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_4,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_5,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_5,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_5,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_5,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_5,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_5,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_5,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_6,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_6,[0] = 0,0,0,0,
