folder,figure,file,ok,msg,actual,expected,errortype
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,[] = 'All odd',None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,[1] = 'All odd',None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[1,3] = 'All odd'",None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[1,3,5] = 'All odd'",None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[3,3,3,3] = 'All odd'",None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[-3,-3,-3,-3] = 'All odd'",None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,[0] = 0,3,3,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 0] = 0",4,4,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 0, 0] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[2, 0, 0] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 2, 0] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 0, 2] = 0",7,7,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[1, 0, 0] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 1, 0] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 0, 1] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[1, 2, 0] = 0",5,5,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 1, 2] = 5 7",7,7,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[0, 2, 1] = 5 7",7,7,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[4, 1, 1] = 5 9",9,9,
V3,Weinmann2021figure1,Weinmann2021figure1_0,0,"[-4, 1, 1] = 5 1",1,1,
V3,Weinmann2021figure1,Weinmann2021figure1_1,0,[] = 'All odd',None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_1,0,[1] = 'All odd',None,All odd,
V3,Weinmann2021figure1,Weinmann2021figure1_1,0,"[1,3] = 'All odd'",None,All odd,
