folder,problem,file,ok,errortype,msg,actual
V1/,Ericson2017figure4,Ericson2017figure4_0,False,runtime error,error running Ericson2017figure4_0,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10147b780>)"
V1/,Ericson2017figure4,Ericson2017figure4_1,False,runtime error,error running Ericson2017figure4_1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10147ba80>)"
V1/,Ericson2017figure4,Ericson2017figure4_2,False,runtime error,error running Ericson2017figure4_2,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10147b6c0>)"
V1/,Ericson2017figure4,Ericson2017figure4_3,False,runtime error,error running Ericson2017figure4_3,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10147ba40>)"
V1/,Ericson2017figure4,Ericson2017figure4_4,False,runtime error,error running Ericson2017figure4_4,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10147b780>)"
V1/,Ericson2017figure4,Ericson2017figure4_5,False,runtime error,error running Ericson2017figure4_5,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10147be80>)"
V1/,Ericson2017figure4,Ericson2017figure4_6,False,runtime error,error running Ericson2017figure4_6,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c080>)"
V1/,Ericson2017figure4,Ericson2017figure4_7,False,runtime error,error running Ericson2017figure4_7,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c140>)"
V1/,Ericson2017figure4,Ericson2017figure4_8,False,runtime error,error running Ericson2017figure4_8,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c080>)"
V1/,Ericson2017figure4,Ericson2017figure4_9,False,runtime error,error running Ericson2017figure4_9,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c140>)"
V1/,Ericson2017figure4,Ericson2017figure4_10,False,runtime error,error running Ericson2017figure4_10,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c2c0>)"
V1/,Ericson2017figure4,Ericson2017figure4_11,False,runtime error,error running Ericson2017figure4_11,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c140>)"
V1/,Ericson2017figure4,Ericson2017figure4_12,False,runtime error,error running Ericson2017figure4_12,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c080>)"
V1/,Ericson2017figure4,Ericson2017figure4_13,False,runtime error,error running Ericson2017figure4_13,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c700>)"
V1/,Ericson2017figure4,Ericson2017figure4_14,False,runtime error,error running Ericson2017figure4_14,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c440>)"
V1/,Ericson2017figure4,Ericson2017figure4_15,False,runtime error,error running Ericson2017figure4_15,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c140>)"
V1/,Ericson2017figure4,Ericson2017figure4_16,False,runtime error,error running Ericson2017figure4_16,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148c880>)"
V1/,Ericson2017figure4,Ericson2017figure4_17,False,runtime error,error running Ericson2017figure4_17,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148cac0>)"
V1/,Ericson2017figure4,Ericson2017figure4_18,False,runtime error,error running Ericson2017figure4_18,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148cb80>)"
V1/,Ericson2017figure4,Ericson2017figure4_19,False,runtime error,error running Ericson2017figure4_19,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x10148cdc0>)"
V1/,Ericson2022figure2,Ericson2022figure2_2,False,import error,error importing source code Ericson2022figure2_2,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unittests/./V1/Ericson2022figure2/Ericson2022figure2_2.py', 2, 1, 'if guess < target:\n', 2, 3)), <traceback object at 0x1019d0a00>)"
V1/,Ericson2022figure2,Ericson2022figure2_11,False,import error,error importing source code Ericson2022figure2_11,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unittests/./V1/Ericson2022figure2/Ericson2022figure2_11.py', 2, 1, 'if guess == target:\n', 2, 3)), <traceback object at 0x1019d1d40>)"
V1/,Ericson2022figure3,Ericson2022figure3_12,False,output incorrect,a b = 'ab' 'a b',a b
V1/,Ericson2022figure3,Ericson2022figure3_12,False,output incorrect,aa bb = 'ab',aa bb
V1/,Ericson2022figure3,Ericson2022figure3_12,False,output incorrect,aaa bbb = ab,aaa bbb
V1/,Ericson2022figure3,Ericson2022figure3_12,False,output incorrect,"' spacea',' spaceb' = [  ] ", spacea  spaceb
V1/,Ericson2022figure3,Ericson2022figure3_12,False,output incorrect,"' spacesa ',' spacesb ' = ...", spacesa   spacesb 
V1/,Ericson2022figure3,Ericson2022figure3_12,False,output incorrect,"'a z','b z' = ab",a z b z
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(0,True) :",10:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(1,True) :",7:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(2,True) :",7:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(3,True) :",7:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(4,True) :",7:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(5,True) :",7:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(6,True) :",10:00
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(0,False) :",off
V1/,Ericson2022figure4,Ericson2022figure4_8,False,output incorrect,"(6,False) :",off
V1/,Ericson2022figure8,Ericson2022figure8_4,False,runtime error,[] = 0,
V1/,Haynes_Magyar2022figure2,Haynes_Magyar2022figure2_0,False,runtime error,error running Haynes_Magyar2022figure2_0,"(<class 'NameError'>, NameError(""name 'num' is not defined""), <traceback object at 0x102e0b880>)"
V1/,Haynes_Magyar2022figure2,Haynes_Magyar2022figure2_2,False,import error,error importing source code Haynes_Magyar2022figure2_2,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unittests/./V1/Haynes_Magyar2022figure2/Haynes_Magyar2022figure2_2.py', 2, 1, 'for i in range (len(nums)-1):\n', 2, 4)), <traceback object at 0x102e0bc80>)"
V1/,Haynes_Magyar2022figure2,Haynes_Magyar2022figure2_4,False,runtime error,error running Haynes_Magyar2022figure2_4,"(<class 'NameError'>, NameError(""name 'num' is not defined""), <traceback object at 0x102e1c040>)"
V1/,Haynes_Magyar2022figure2,Haynes_Magyar2022figure2_17,False,runtime error,error running Haynes_Magyar2022figure2_17,"(<class 'NameError'>, NameError(""name 'num' is not defined""), <traceback object at 0x102e1d480>)"
V1/,Haynes_Magyar2022figure4,Haynes_Magyar2022figure4_0,False,import error,error importing source code Haynes_Magyar2022figure4_0,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unittests/./V1/Haynes_Magyar2022figure4/Haynes_Magyar2022figure4_0.py', 2, 1, 'count = 0\n', 2, 6)), <traceback object at 0x102d67940>)"
V1/,Haynes_Magyar2022figure4,Haynes_Magyar2022figure4_1,False,import error,error importing source code Haynes_Magyar2022figure4_1,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unittests/./V1/Haynes_Magyar2022figure4/Haynes_Magyar2022figure4_1.py', 2, 1, 'count = 0\n', 2, 6)), <traceback object at 0x102d67c00>)"
